,0,1,2
1341,-32,-8,0
1342,-16,-8,16
1343,-16,-8,0
1344,-32,-16,8
1345,-32,16,0
1346,-16,0,0
1347,-32,0,32
1348,-32,0,8
1349,-16,0,0
1350,-32,-8,16
1351,-16,0,8
1352,-16,16,8
1353,-32,-8,16
1354,-16,-8,32
1355,-16,-8,8
1356,16,0,0
1357,0,8,0
1358,0,-8,0
1359,8,0,0
1360,-8,0,0
1361,0,0,0
1362,-16,-8,0
1363,8,16,0
1364,-8,-8,0
1365,16,16,0
1366,0,-8,0
1367,-16,-8,0
1368,0,0,8
1369,0,0,8
1370,-16,-8,0
1371,-8,0,8
1372,0,-8,8
1373,0,0,8
1374,-16,-8,8
1375,-16,-8,0
1376,0,16,-8
1377,-8,0,-8
1378,0,-8,-8
1379,-16,-8,-8
1380,0,0,16
1381,0,8,0
1382,-16,-8,8
1383,8,16,0
1384,8,0,8
1385,0,0,0
1386,0,-8,0
1387,8,0,8
1388,8,8,8
1389,0,0,32
1390,-16,-8,16
1391,0,-8,0
1392,0,0,8
1393,0,0,0
1394,-16,-8,8
1395,-8,0,0
1396,0,8,8
1397,0,0,16
1398,0,-8,8
1399,-16,-8,8
1400,0,0,16
1401,-8,0,8
1402,-16,-8,0
1403,-16,-8,0
1404,-8,8,16
1405,-8,8,0
1406,-8,-8,16
1407,-8,16,0
1408,-16,8,8
1409,0,0,0
1410,-16,-8,0
1411,-16,0,0
1412,-16,8,8
1413,-16,0,16
1414,0,-8,8
1415,-16,-8,0
1416,-16,8,8
1417,-16,0,0
1418,-16,-8,0
1419,-16,16,0
1420,-16,8,8
1421,-16,16,16
1422,-16,-8,16
1423,-16,-8,0
1424,-32,0,16
1425,-32,16,8
1426,-16,-8,0
1427,-16,-8,8
1428,-8,0,16
1429,-8,0,16
1430,-8,-8,0
1431,-8,16,16
1432,-16,0,8
1433,-16,0,8
1434,-16,-8,0
1435,-16,16,8
1436,-16,8,0
1437,-16,8,0
1438,-16,-8,0
1439,-16,-8,0
1440,-16,0,8
1441,0,0,0
1442,-16,-8,0
1443,-16,0,8
1444,-16,8,16
1445,-16,-8,16
1446,0,-8,0
1447,-16,-8,16
1448,-32,8,8
1449,-32,-8,8
1450,-16,-8,0
1451,-16,-8,8
1452,-8,-8,0
1453,-8,-8,8
1454,-8,-8,8
1455,-8,-8,8
1456,-8,-8,32
1457,-8,-8,8
1458,-16,0,0
1459,-16,0,8
1460,-16,0,8
1461,-16,0,0
1462,-16,0,16
1463,-16,0,0
1464,-16,-16,0
1465,-16,-16,16
1466,-16,-16,0
1467,-16,-16,0
1468,-16,-16,8
1469,-16,-16,-8
1470,-16,-16,8
1471,-16,-16,32
1472,-16,-16,8
1473,-16,-16,0
1474,-16,-16,16
1475,-16,-16,0
1476,-16,-16,16
1477,-16,-16,16
1478,-16,-16,0
1479,-16,-16,8
1480,-16,-16,8
1481,-16,-16,16
1482,-16,-16,0
1483,-16,-16,8
1484,-16,-16,-8
1485,-16,-16,0
1486,-16,-16,16
1487,-16,-16,0
1488,-16,0,0
1489,-16,0,16
1490,-16,0,0
1491,-16,0,0
1492,-16,0,8
1493,-16,0,8
1494,-16,-16,8
1495,-16,-16,16
1496,-16,-16,8
1497,-16,-16,0
1498,-16,-16,16
1499,-16,-16,16
1500,-16,-16,16
1501,-16,-16,0
1502,-16,-16,0
1503,-16,-16,8
